,TAG,NAME,CALORIE,WATER,PROTAIN,LIPID,CARBOHYDRATE,FIBTG,NA,
,和生菓子類,ぎゅうひ,257,36.0,1.3,0.2,62.4,0.1,1,
,和生菓子類,きりざんしょ,248,38.0,2.1,0.3,59.1,0.2,66,
,和生菓子類,きんぎょく糖,288,28.0,0,0,71.2,0.8,2,
,和生菓子類,きんつば,265,34.0,6.0,0.7,52.9,5.7,130,
,和生菓子類,草もち,229,43.0,4.2,0.4,50.1,2.0,17,
,和生菓子類,くし団子 あん ,201,50.0,3.8,0.4,44.3,1.2,21,
,和生菓子類,くし団子 みたらし,197,50.5,3.1,0.4,44.9,0.3,250,
,和生菓子類,くずもち くずでん粉製品 ,91,77.4,0.1,0.1,22.5,0,1,
,和生菓子類,くずもち 小麦でん粉製品 ,91,77.4,0.1,0.1,22.4,0,1,
,和生菓子類,げっぺい,357,20.9,5.2,8.7,62,2.5,50,
,和生菓子類,五平もち ,181,54.7,3.0,0.5,40.2,0.8,230,
,和生菓子類,桜もち 関東風 ,239,40.5,4.5,0.4,51.7,2.6,45,
,和生菓子類,桜もち 関西風 ,200,50.0,3.4,0.2,44.4,1.7,33,
,和生菓子類,笹だんご,239,40.5,3.9,0.5,52.5,2.2,26,
,和生菓子類,大福もち,235,41.5,4.8,0.5,50.3,2.5,46,
,和生菓子類,タルト（和菓子）,293,30.0,5.9,2.9,59.3,1.5,36,
,和生菓子類,ちまき,153,62.0,1.3,0.2,36.3,0.1,1,
,和生菓子類,ちゃつう,328,22.5,6.2,4.1,62.7,3.8,5,
,和生菓子類,どら焼,284,31.5,6.6,2.5,55.6,3.1,140,
,和生菓子類,生八つ橋 あん入り,279,30.5,4.5,0.4,61.3,3.0,18,
,和生菓子類,ねりきり,264,34.0,5.3,0.3,56.5,3.6,2,
,和生菓子類,まんじゅう カステラまんじゅう ,294,27.9,6.6,1.6,60.4,3.0,44,
,和生菓子類,まんじゅう くずまんじゅう ,220,45.0,3.1,0.2,49.2,2.2,45,
,和生菓子類,まんじゅう くりまんじゅう ,309,24.0,6.0,1.3,65.2,3.0,25,
,和生菓子類,まんじゅう とうまんじゅう ,297,28.0,6.2,2.1,60.9,2.5,24,
,和生菓子類,まんじゅう 蒸しまんじゅう ,260,35.0,4.9,0.4,56.3,2.9,63,
,和生菓子類,まんじゅう 中華まんじゅう あんまん,280,36.6,6.1,5.7,48.5,2.6,11,
,和生菓子類,まんじゅう 中華まんじゅう 肉まん,260,39.5,10.0,5.1,40.3,3.2,460,
,和生菓子類,もなか,285,29.0,4.8,0.4,62.5,3.1,2,
,和生菓子類,ゆべし,327,22.0,2.4,3.5,70.6,0.6,230,
,和生菓子類,ようかん 練りようかん ,296,26.0,3.6,0.2,66.9,3.1,3,
,和生菓子類,ようかん 水ようかん ,171,57.0,2.6,0.1,37.8,2.2,57,
,和生菓子類,ようかん 蒸しようかん ,242,39.5,4.4,0.3,52.5,2.9,83,
,和干菓子類,あめ玉,390,2.5,0,0,97.5,0,1,
,和干菓子類,芋かりんとう,476,5.5,1.4,20.5,68.7,2.6,13,
,和干菓子類,おこし,383,5.0,3.8,0.8,89.7,0.4,95,
,和干菓子類,おのろけ豆,448,3.0,11.7,13.5,67.5,2.3,390,
,和干菓子類,かりんとう 黒 ,440,3.5,7.6,11.6,75.1,1.2,7,
,和干菓子類,かりんとう 白 ,444,2.5,9.7,11.2,74.5,1.7,1,
,和干菓子類,ごかぼう,387,10.0,10.7,6.4,67,4.6,1,
