,TAG,NAME,CALORIE,WATER,PROTAIN,LIPID,CARBOHYDRATE,FIBTG,NA,
,香辛料類,オニオンパウダー,364,5.0,8.8,1.1,79.8,0,52,
,香辛料類,からし 粉,436,4.9,33.0,14.3,43.7,0,34,
,香辛料類,からし 練り,315,31.7,5.9,14.5,40.1,0,2900,
,香辛料類,からし 練りマスタード,174,65.7,4.8,10.6,13.1,0,1200,
,香辛料類,からし 粒入りマスタード,229,57.2,7.6,16.0,12.7,0,1600,
,香辛料類,カレー粉,415,5.7,13.0,12.2,26.4,36.9,40,
,香辛料類,クローブ 粉,417,7.5,7.2,13.6,66.4,0,280,
,香辛料類,こしょう 黒 粉,364,12.7,11.0,6.0,66.6,0,65,
,香辛料類,こしょう 白 粉,378,12.3,10.1,6.4,70.1,0,4,
,香辛料類,こしょう 混合 粉,371,12.5,10.6,6.2,68.3,0,35,
,香辛料類,さんしょう 粉,375,8.3,10.3,6.2,69.6,0,10,
,香辛料類,シナモン 粉,364,9.4,3.6,3.5,79.6,0,23,
,香辛料類,しょうが 粉,365,10.6,7.8,4.9,72.5,0,31,
,香辛料類,しょうが おろし,43,88.2,0.7,0.6,8.6,0,580,
,香辛料類,セージ 粉,384,9.2,6.4,10.1,66.9,0,120,
,香辛料類,タイム 粉,352,9.8,6.5,5.2,69.8,0,13,
,香辛料類,チリパウダー,374,3.8,15.0,8.2,60.1,0,2500,
,香辛料類,とうがらし 粉,419,1.7,16.2,9.7,66.8,0,4,
,香辛料類,ナツメグ 粉,559,6.3,5.7,38.5,47.5,0,15,
,ニンニク類,ガーリックパウダー 食塩無添加,382,3.5,19.9,0.8,73.8,0,18,
,ニンニク類,ガーリックパウダー 食塩添加,382,3.5,19.9,0.8,73.8,0,3300,
,ニンニク類,にんにく おろし,171,52.1,4.7,0.5,37,0,1800,
,香辛料類,バジル 粉,307,10.9,21.1,2.2,50.6,0,59,
,香辛料類,パセリ 乾,341,5.0,28.7,2.2,51.6,0,880,
,香辛料類,パプリカ 粉,389,10.0,15.5,11.6,55.6,0,60,
,香辛料類,わさび 粉 からし粉入り,384,4.9,16.5,4.4,69.7,0,30,
,香辛料類,わさび 練り,265,39.8,3.3,10.3,39.8,0,2400,
,その他,酵母 パン酵母 圧搾,103,68.1,16.5,1.5,1.8,10.3,39,
,その他,酵母 パン酵母 乾燥,313,8.7,37.1,6.8,10.5,32.6,120,
,その他,天ぷら用バッター,137,65.8,3.4,0.5,28.7,1.0,81,
,その他,ベーキングパウダー,127,4.5,0,1.2,29,0,6800,
,その他,カレー ビーフ レトルトパウチ,118,77.9,3.3,7.3,9.8,0,510,
,冷凍食品,ぎょうざ 冷凍,197,59.3,7.1,8.1,23.8,0,490,
,冷凍食品,グラタン えび 冷凍,133,73.9,4.8,6.7,13.3,0,350,
,冷凍食品,コーンクリームスープ 粉末タイプ,425,2.1,8.1,13.7,67.4,0,2800,
,その他,コーンクリームスープ レトルトパウチ,86,83.6,2.0,4.8,8.6,0,280,
,冷凍食品,コロッケ クリームタイプ フライ用 冷凍,159,67.0,4.7,6.3,20.9,0,270,
,冷凍食品,コロッケ クリームタイプ フライ済み 冷凍,256,55.0,5.1,16.2,22.5,0,270,
,冷凍食品,コロッケ ポテトタイプ フライ用 冷凍,164,63.5,4.6,4.9,25.3,0,290,
,冷凍食品,コロッケ ポテトタイプ フライ済み 冷凍,279,50.5,4.6,17.6,25.6,0,290,
,冷凍食品,いかフライ フライ用 冷凍,146,64.5,10.6,2.0,21.4,0,300,
,冷凍食品,いかフライ フライ済み 冷凍,329,41.4,12.1,20.3,24.5,0,300,
,冷凍食品,えびフライ フライ用 冷凍,139,66.3,10.2,1.9,20.3,0,340,
,冷凍食品,えびフライ フライ済み 冷凍,292,51.3,9.1,20.3,18.1,0,340,
,冷凍食品,白身フライ フライ用 冷凍,148,64.5,11.6,2.7,19.3,0,340,
,冷凍食品,白身フライ フライ済み 冷凍,300,50.7,9.7,21.8,16.2,0,340,
,その他,シチュー ビーフ レトルトパウチ,118,78.1,6.0,7.2,7.4,0,290,
,冷凍食品,しゅうまい 冷凍,215,58.4,9.3,11.2,19.3,0,520,
,冷凍食品,ハンバーグ 冷凍,223,59.2,13.3,13.4,12.3,0,490,
,冷凍食品,ピラフ 冷凍,161,62.1,3.8,2.8,30.1,0,370,
,冷凍食品,ミートボール 冷凍,244,57.6,11.7,16.4,12.5,0,520,
,冷凍食品,メンチカツ フライ用 冷凍,196,58.3,9.9,7.2,23,0,420,
,冷凍食品,メンチカツ フライ済み 冷凍,308,47.0,9.4,20.3,21.8,0,420,
